api_interface,wrapper,status,scope,source,description,methods
ITcVnAccess_TcVnPoint3_REAL,_ITcVnAccess_TcVnPoint3_REAL,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcUnknown; Offers an access interface for TcVnPoint3_REAL values.,Get(aPoint: Reference To TcVnPoint3_REAL [In]): HRESULT; Set(aPoint: Reference To TcVnPoint3_REAL [In]): HRESULT
ITcVnAccess_TcVnRectangle_DINT,_ITcVnAccess_TcVnRectangle_DINT,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcUnknown; Offers an access interface for TcVnRectangle_DINT values.,Get(stRectangle: Reference To TcVnRectangle_DINT [In]): HRESULT; Set(stRectangle: Reference To TcVnRectangle_DINT [In]): HRESULT
ITcVnAccess_TcVnRotatedRectangle,_ITcVnAccess_TcVnRotatedRectangle,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcUnknown; Offers an access interface for TcVnRotatedRectangle values.,Get(stRectangle: Reference To TcVnRotatedRectangle [In]): HRESULT; Set(stRectangle: Reference To TcVnRotatedRectangle [In]): HRESULT
ITcVnAccess_TcVnVector2_DINT,_ITcVnAccess_TcVnVector2_DINT,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcUnknown; Offers an access interface for TcVnVector2_DINT values.,Get(aVector: Reference To TcVnVector2_DINT [In]): HRESULT; Set(aVector: Reference To TcVnVector2_DINT [In]): HRESULT
ITcVnAccess_TcVnVector2_INT,_ITcVnAccess_TcVnVector2_INT,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcUnknown; Offers an access interface for TcVnVector2_INT values.,Get(aVector: Reference To TcVnVector2_INT [In]): HRESULT; Set(aVector: Reference To TcVnVector2_INT [In]): HRESULT
ITcVnAccess_TcVnVector2_REAL,_ITcVnAccess_TcVnVector2_REAL,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcUnknown; Offers an access interface for TcVnVector2_REAL values.,Get(aVector: Reference To TcVnVector2_REAL [In]): HRESULT; Set(aVector: Reference To TcVnVector2_REAL [In]): HRESULT
ITcVnAccess_TcVnVector2_SINT,_ITcVnAccess_TcVnVector2_SINT,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcUnknown; Offers an access interface for TcVnVector2_SINT values.,Get(aVector: Reference To TcVnVector2_SINT [In]): HRESULT; Set(aVector: Reference To TcVnVector2_SINT [In]): HRESULT
ITcVnAccess_TcVnVector2_UINT,_ITcVnAccess_TcVnVector2_UINT,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcUnknown; Offers an access interface for TcVnVector2_UINT values.,Get(aVector: Reference To TcVnVector2_UINT [In]): HRESULT; Set(aVector: Reference To TcVnVector2_UINT [In]): HRESULT
ITcVnAccess_TcVnVector2_USINT,_ITcVnAccess_TcVnVector2_USINT,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcUnknown; Offers an access interface for TcVnVector2_USINT values.,Get(aVector: Reference To TcVnVector2_USINT [In]): HRESULT; Set(aVector: Reference To TcVnVector2_USINT [In]): HRESULT
ITcVnAccess_TcVnVector3_INT,_ITcVnAccess_TcVnVector3_INT,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcUnknown; Offers an access interface for TcVnVector3_INT values.,Get(aVector: Reference To TcVnVector3_INT [In]): HRESULT; Set(aVector: Reference To TcVnVector3_INT [In]): HRESULT
ITcVnAccess_TcVnVector3_REAL,_ITcVnAccess_TcVnVector3_REAL,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcUnknown; Offers an access interface for TcVnVector3_REAL values.,Get(aVector: Reference To TcVnVector3_REAL [In]): HRESULT; Set(aVector: Reference To TcVnVector3_REAL [In]): HRESULT
ITcVnAccess_TcVnVector3_SINT,_ITcVnAccess_TcVnVector3_SINT,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcUnknown; Offers an access interface for TcVnVector3_SINT values.,Get(aVector: Reference To TcVnVector3_SINT [In]): HRESULT; Set(aVector: Reference To TcVnVector3_SINT [In]): HRESULT
ITcVnAccess_TcVnVector3_UINT,_ITcVnAccess_TcVnVector3_UINT,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcUnknown; Offers an access interface for TcVnVector3_UINT values.,Get(aVector: Reference To TcVnVector3_UINT [In]): HRESULT; Set(aVector: Reference To TcVnVector3_UINT [In]): HRESULT
