api_interface,wrapper,status,scope,source,description,methods
ITcVnMlModel,_ITcVnMlModel,missing,function_parameter; implement graph datatype for function coverage,,Extends ITcUnknown; Interface for a machine learning model.,GetTypeGuid(nTypeGuid: Reference To GUID [In]): HRESULT; GetTypeName(sTypeName: STRING [In]; nMaxLen: UINT [In]): HRESULT
ITcVnNeuralNetwork,_ITcVnNeuralNetwork,missing,function_parameter; implement graph datatype for function coverage,,Extends ITcVnMlModel; Interface for neural networks.,Execute(ipSrcImage: ITcVnImage [In]; pipDestImage: Pointer To ITcVnImage [In]): HRESULT; Execute_SingleLayerOutput(ipSrcImage: ITcVnImage [In]; pipDestImage: Pointer To ITcVnImage [In]; sLayerName: STRING [In]): HRESULT; Execute_MultiLayerOutput(ipSrcImage: ITcVnImage [In]; pipDestImages: Pointer To ITcVnContainer [In]; ipLayerNames: ITcVnContainer [In]): HRESULT; GetLayerNames(pipLayerNames: Pointer To ITcVnContainer [In]; bOnlyOutputs: BOOL [In]): HRESULT
ITcVnRandomAccessIterator,_ITcVnRandomAccessIterator,missing,function_parameter; implement graph datatype for function coverage,,Extends ITcVnBidirectionalIterator; Offers an interface for a random access iterator.,CheckIfGreaterThan(ipIterator: ITcVnRandomAccessIterator [In]): HRESULT; CheckIfLessThan(ipIterator: ITcVnRandomAccessIterator [In]): HRESULT; GetContainerAt(nOffset: LINT [In]; pipContainer: Pointer To ITcVnContainer [In]): HRESULT; SetContainerAt(nOffset: LINT [In]; ipContainer: ITcVnContainer [In]): HRESULT
ITcVnRandomAccess_DINT,_ITcVnRandomAccess_DINT,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcVnAccess_DINT; Offers a random access interface for DINT values.,GetAt(nOffset: LINT [In]; nValue: Reference To DINT [In]): HRESULT; SetAt(nOffset: LINT [In]; nValue: DINT [In]): HRESULT
ITcVnRandomAccess_INT,_ITcVnRandomAccess_INT,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcVnAccess_INT; Offers a random access interface for INT values,GetAt(nOffset: LINT [In]; nValue: Reference To INT [In]): HRESULT; SetAt(nOffset: LINT [In]; nValue: INT [In]): HRESULT
ITcVnRandomAccess_ITcVnImage,_ITcVnRandomAccess_ITcVnImage,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcVnAccess_ITcVnImage; Offers an random access interface for images.,GetAt(nOffset: LINT [In]; ipImage: Reference To ITcVnImage [In]): HRESULT; SetAt(nOffset: LINT [In]; ipImage: ITcVnImage [In]): HRESULT
ITcVnRandomAccess_LREAL,_ITcVnRandomAccess_LREAL,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcVnAccess_LREAL; Offers a random access interface for LREAL values.,GetAt(nOffset: LINT [In]; fValue: Reference To LREAL [In]): HRESULT; SetAt(nOffset: LINT [In]; fValue: LREAL [In]): HRESULT
ITcVnRandomAccess_REAL,_ITcVnRandomAccess_REAL,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcVnAccess_REAL; Offers a random access interface for REAL values.,GetAt(nOffset: LINT [In]; fValue: Reference To REAL [In]): HRESULT; SetAt(nOffset: LINT [In]; fValue: REAL [In]): HRESULT
ITcVnRandomAccess_SINT,_ITcVnRandomAccess_SINT,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcVnAccess_SINT; Offers a random access interface for SINT values,GetAt(nOffset: LINT [In]; nValue: Reference To SINT [In]): HRESULT; SetAt(nOffset: LINT [In]; nValue: SINT [In]): HRESULT
ITcVnRandomAccess_TcVnDMatch,_ITcVnRandomAccess_TcVnDMatch,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcVnAccess_TcVnDMatch; Offers an random access interface for TcVnDMatch values.,GetAt(nOffset: LINT [In]; stDMatch: Reference To TcVnDMatch [In]): HRESULT; SetAt(nOffset: LINT [In]; stDMatch: Reference To TcVnDMatch [In]): HRESULT
ITcVnRandomAccess_TcVnKeyPoint,_ITcVnRandomAccess_TcVnKeyPoint,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcVnAccess_TcVnKeyPoint; Offers a random access interface for TcVnKeyPoint values.,GetAt(nOffset: LINT [In]; stKeyPoint: Reference To TcVnKeyPoint [In]): HRESULT; SetAt(nOffset: LINT [In]; stKeyPoint: Reference To TcVnKeyPoint [In]): HRESULT
ITcVnRandomAccess_TcVnPoint2_DINT,_ITcVnRandomAccess_TcVnPoint2_DINT,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcVnAccess_TcVnPoint2_DINT; Offers a random access interface for TcVnPoint2_DINT values.,GetAt(nOffset: LINT [In]; aPoint: Reference To TcVnPoint2_DINT [In]): HRESULT; SetAt(nOffset: LINT [In]; aPoint: Reference To TcVnPoint2_DINT [In]): HRESULT
ITcVnRandomAccess_TcVnPoint2_LREAL,_ITcVnRandomAccess_TcVnPoint2_LREAL,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcVnAccess_TcVnPoint2_LREAL; Offers a random access interface for TcVnPoint2_LREAL values.,GetAt(nOffset: LINT [In]; aPoint: Reference To TcVnPoint2_LREAL [In]): HRESULT; SetAt(nOffset: LINT [In]; aPoint: Reference To TcVnPoint2_LREAL [In]): HRESULT
ITcVnRandomAccess_TcVnPoint2_REAL,_ITcVnRandomAccess_TcVnPoint2_REAL,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcVnAccess_TcVnPoint2_REAL; Offers a random access interface for TcVnPoint2_REAL values.,GetAt(nOffset: LINT [In]; aPoint: Reference To TcVnPoint2_REAL [In]): HRESULT; SetAt(nOffset: LINT [In]; aPoint: Reference To TcVnPoint2_REAL [In]): HRESULT
ITcVnRandomAccess_TcVnPoint3_LREAL,_ITcVnRandomAccess_TcVnPoint3_LREAL,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcVnAccess_TcVnPoint3_LREAL; Offers a random access interface for TcVnPoint3_LREAL values.,GetAt(nOffset: LINT [In]; aPoint: Reference To TcVnPoint3_LREAL [In]): HRESULT; SetAt(nOffset: LINT [In]; aPoint: Reference To TcVnPoint3_LREAL [In]): HRESULT
ITcVnRandomAccess_TcVnPoint3_REAL,_ITcVnRandomAccess_TcVnPoint3_REAL,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcVnAccess_TcVnPoint3_REAL; Offers a random access interface for TcVnPoint3_REAL values.,GetAt(nOffset: LINT [In]; aPoint: Reference To TcVnPoint3_REAL [In]): HRESULT; SetAt(nOffset: LINT [In]; aPoint: Reference To TcVnPoint3_REAL [In]): HRESULT
ITcVnRandomAccess_TcVnRectangle_DINT,_ITcVnRandomAccess_TcVnRectangle_DINT,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcVnAccess_TcVnRectangle_DINT; Offers a random access interface for TcVnRectangle_DINT values.,GetAt(nOffset: LINT [In]; stRectangle: Reference To TcVnRectangle_DINT [In]): HRESULT; SetAt(nOffset: LINT [In]; stRectangle: Reference To TcVnRectangle_DINT [In]): HRESULT
ITcVnRandomAccess_TcVnRotatedRectangle,_ITcVnRandomAccess_TcVnRotatedRectangle,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcVnAccess_TcVnRotatedRectangle; Offers a random access interface for TcVnRotatedRectangle values.,GetAt(nOffset: LINT [In]; stRectangle: Reference To TcVnRotatedRectangle [In]): HRESULT; SetAt(nOffset: LINT [In]; stRectangle: Reference To TcVnRotatedRectangle [In]): HRESULT
ITcVnRandomAccess_TcVnVector2_DINT,_ITcVnRandomAccess_TcVnVector2_DINT,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcVnAccess_TcVnVector2_DINT; Offers a random access interface for TcVnVector2_DINT values.,GetAt(nOffset: LINT [In]; aVector: Reference To TcVnVector2_DINT [In]): HRESULT; SetAt(nOffset: LINT [In]; aVector: Reference To TcVnVector2_DINT [In]): HRESULT
ITcVnRandomAccess_TcVnVector2_INT,_ITcVnRandomAccess_TcVnVector2_INT,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcVnAccess_TcVnVector2_INT; Offers a random access interface for TcVnVector2_INT values.,GetAt(nOffset: LINT [In]; aVector: Reference To TcVnVector2_INT [In]): HRESULT; SetAt(nOffset: LINT [In]; aVector: Reference To TcVnVector2_INT [In]): HRESULT
ITcVnRandomAccess_TcVnVector2_REAL,_ITcVnRandomAccess_TcVnVector2_REAL,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcVnAccess_TcVnVector2_REAL; Offers a random access interface for TcVnVector2_REAL values.,GetAt(nOffset: LINT [In]; aVector: Reference To TcVnVector2_REAL [In]): HRESULT; SetAt(nOffset: LINT [In]; aVector: Reference To TcVnVector2_REAL [In]): HRESULT
ITcVnRandomAccess_TcVnVector2_SINT,_ITcVnRandomAccess_TcVnVector2_SINT,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcVnAccess_TcVnVector2_SINT; Offers a random access interface for TcVnVector2_SINT values.,GetAt(nOffset: LINT [In]; aVector: Reference To TcVnVector2_SINT [In]): HRESULT; SetAt(nOffset: LINT [In]; aVector: Reference To TcVnVector2_SINT [In]): HRESULT
ITcVnRandomAccess_TcVnVector2_UINT,_ITcVnRandomAccess_TcVnVector2_UINT,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcVnAccess_TcVnVector2_UINT; Offers a random access interface for TcVnVector2_UINT values.,GetAt(nOffset: LINT [In]; aVector: Reference To TcVnVector2_UINT [In]): HRESULT; SetAt(nOffset: LINT [In]; aVector: Reference To TcVnVector2_UINT [In]): HRESULT
ITcVnRandomAccess_TcVnVector2_USINT,_ITcVnRandomAccess_TcVnVector2_USINT,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcVnAccess_TcVnVector2_USINT; Offers a random access interface for TcVnVector2_USINT values.,GetAt(nOffset: LINT [In]; aVector: Reference To TcVnVector2_USINT [In]): HRESULT; SetAt(nOffset: LINT [In]; aVector: Reference To TcVnVector2_USINT [In]): HRESULT
ITcVnRandomAccess_TcVnVector3_INT,_ITcVnRandomAccess_TcVnVector3_INT,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcVnAccess_TcVnVector3_INT; Offers a random access interface for TcVnVector3_INT values.,GetAt(nOffset: LINT [In]; aVector: Reference To TcVnVector3_INT [In]): HRESULT; SetAt(nOffset: LINT [In]; aVector: Reference To TcVnVector3_INT [In]): HRESULT
ITcVnRandomAccess_TcVnVector3_REAL,_ITcVnRandomAccess_TcVnVector3_REAL,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcVnAccess_TcVnVector3_REAL; Offers a random access interface for TcVnVector3_REAL values.,GetAt(nOffset: LINT [In]; aVector: Reference To TcVnVector3_REAL [In]): HRESULT; SetAt(nOffset: LINT [In]; aVector: Reference To TcVnVector3_REAL [In]): HRESULT
ITcVnRandomAccess_TcVnVector3_SINT,_ITcVnRandomAccess_TcVnVector3_SINT,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcVnAccess_TcVnVector3_SINT; Offers a random access interface for TcVnVector3_SINT values.,GetAt(nOffset: LINT [In]; aVector: Reference To TcVnVector3_SINT [In]): HRESULT; SetAt(nOffset: LINT [In]; aVector: Reference To TcVnVector3_SINT [In]): HRESULT
ITcVnRandomAccess_TcVnVector3_UINT,_ITcVnRandomAccess_TcVnVector3_UINT,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcVnAccess_TcVnVector3_UINT; Offers a random access interface for TcVnVector3_UINT values.,GetAt(nOffset: LINT [In]; aVector: Reference To TcVnVector3_UINT [In]): HRESULT; SetAt(nOffset: LINT [In]; aVector: Reference To TcVnVector3_UINT [In]): HRESULT
ITcVnRandomAccess_TcVnVector3_USINT,_ITcVnRandomAccess_TcVnVector3_USINT,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcVnAccess_TcVnVector3_USINT; Offers a random access interface for TcVnVector3_USINT values.,GetAt(nOffset: LINT [In]; aVector: Reference To TcVnVector3_USINT [In]): HRESULT; SetAt(nOffset: LINT [In]; aVector: Reference To TcVnVector3_USINT [In]): HRESULT
ITcVnRandomAccess_TcVnVector4_DINT,_ITcVnRandomAccess_TcVnVector4_DINT,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcVnAccess_TcVnVector4_DINT; Offers a random access interface for TcVnVector4_DINT values.,GetAt(nOffset: LINT [In]; aVector: Reference To TcVnVector4_DINT [In]): HRESULT; SetAt(nOffset: LINT [In]; aVector: Reference To TcVnVector4_DINT [In]): HRESULT
ITcVnRandomAccess_TcVnVector4_INT,_ITcVnRandomAccess_TcVnVector4_INT,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcVnAccess_TcVnVector4_INT; Offers a random access interface for TcVnVector4_INT values.,GetAt(nOffset: LINT [In]; aVector: Reference To TcVnVector4_INT [In]): HRESULT; SetAt(nOffset: LINT [In]; aVector: Reference To TcVnVector4_INT [In]): HRESULT
ITcVnRandomAccess_TcVnVector4_LREAL,_ITcVnRandomAccess_TcVnVector4_LREAL,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcVnAccess_TcVnVector4_LREAL; Offers a random access interface for TcVnVector4_LREAL values.,GetAt(nOffset: LINT [In]; aVector: Reference To TcVnVector4_LREAL [In]): HRESULT; SetAt(nOffset: LINT [In]; aVector: Reference To TcVnVector4_LREAL [In]): HRESULT
ITcVnRandomAccess_TcVnVector4_REAL,_ITcVnRandomAccess_TcVnVector4_REAL,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcVnAccess_TcVnVector4_REAL; Offers a random access interface for TcVnVector4_REAL values.,GetAt(nOffset: LINT [In]; aVector: Reference To TcVnVector4_REAL [In]): HRESULT; SetAt(nOffset: LINT [In]; aVector: Reference To TcVnVector4_REAL [In]): HRESULT
ITcVnRandomAccess_TcVnVector4_SINT,_ITcVnRandomAccess_TcVnVector4_SINT,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcVnAccess_TcVnVector4_SINT; Offers a random access interface for TcVnVector4_SINT values.,GetAt(nOffset: LINT [In]; aVector: Reference To TcVnVector4_SINT [In]): HRESULT; SetAt(nOffset: LINT [In]; aVector: Reference To TcVnVector4_SINT [In]): HRESULT
ITcVnRandomAccess_TcVnVector4_UINT,_ITcVnRandomAccess_TcVnVector4_UINT,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcVnAccess_TcVnVector4_UINT; Offers a random access interface for TcVnVector4_UINT values.,GetAt(nOffset: LINT [In]; aVector: Reference To TcVnVector4_UINT [In]): HRESULT; SetAt(nOffset: LINT [In]; aVector: Reference To TcVnVector4_UINT [In]): HRESULT
ITcVnRandomAccess_TcVnVector4_USINT,_ITcVnRandomAccess_TcVnVector4_USINT,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcVnAccess_TcVnVector4_USINT; Offers a random access interface for TcVnVector4_USINT values.,GetAt(nOffset: LINT [In]; aVector: Reference To TcVnVector4_USINT [In]): HRESULT; SetAt(nOffset: LINT [In]; aVector: Reference To TcVnVector4_USINT [In]): HRESULT
ITcVnRandomAccess_UDINT,_ITcVnRandomAccess_UDINT,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcVnAccess_UDINT; Offers a random access interface for UDINT values.,GetAt(nOffset: LINT [In]; nValue: Reference To UDINT [In]): HRESULT; SetAt(nOffset: LINT [In]; nValue: UDINT [In]): HRESULT
ITcVnRandomAccess_UINT,_ITcVnRandomAccess_UINT,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcVnAccess_UINT; Offers a random access interface for UINT values,GetAt(nOffset: LINT [In]; nValue: Reference To UINT [In]): HRESULT; SetAt(nOffset: LINT [In]; nValue: UINT [In]): HRESULT
ITcVnRandomAccess_ULINT,_ITcVnRandomAccess_ULINT,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcVnAccess_ULINT; Offers a randowm access interface for ULINT values.,GetAt(nOffset: LINT [In]; nValue: Reference To ULINT [In]): HRESULT; SetAt(nOffset: LINT [In]; nValue: ULINT [In]): HRESULT
ITcVnRandomAccess_USINT,_ITcVnRandomAccess_USINT,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcVnAccess_USINT; Offers a random access interface for USINT values,GetAt(nOffset: LINT [In]; nValue: Reference To USINT [In]): HRESULT; SetAt(nOffset: LINT [In]; nValue: USINT [In]): HRESULT
ITcVnTiffExport,_ITcVnTiffExport,missing,advanced_device_export_or_interface_method_access,,Extends ITcUnknown; Interface for exporting an image as tiff.,GetTiffSize(nTiffSize: Reference To ULINT [In]): HRESULT; GetTiffImage(nTiffSize: Reference To ULINT [In]; pDestBuffer: PVOID [In]): HRESULT
ITcVnTiffExportNotification,_ITcVnTiffExportNotification,missing,advanced_device_export_or_interface_method_access,,Extends ITcUnknown; Interface for sending displayable images as tiff via ADS notifications.,GetTimestamp(nTimestamp: Reference To LINT [In]): HRESULT; GetTiffImageRpcUnlocked(nTiffSize: Reference To ULINT [In]; pDestBuffer: PVOID [In]): HRESULT
ITcVnTiffExportRpcUnlocked,_ITcVnTiffExportRpcUnlocked,missing,advanced_device_export_or_interface_method_access,,Extends ITcVnTiffExport; Interface for exporting an image as tiff by means of an unlocked remote procedure call.,GetTiffImageRpcUnlocked(nTiffSize: Reference To ULINT [In]; pDestBuffer: PVOID [In]): HRESULT
ITcVnTiffImport,_ITcVnTiffImport,missing,advanced_device_export_or_interface_method_access,,Extends ITcUnknown; Interface for importing a tiff image.,ImportTiffImage(pTiffImage: PVOID [In]): HRESULT
ITcVnTimestamp,_ITcVnTimestamp,missing,advanced_device_export_or_interface_method_access,,Extends ITcUnknown; Offers an interface for timestamps.,UpdateTimestamp(): HRESULT; GetTimestamp(nTimestamp: Reference To LINT [In]): HRESULT
